Date,Precipitation,Site
1981-09,0.14,JR
1981-10,2.67,JR
1981-11,6.77,JR
1981-12,4.8,JR
1982-01,10.03,JR
1982-02,3.75,JR
1982-03,7.34,JR
1982-04,5.43,JR
1982-05,0,JR
1982-06,0.25,JR
1982-07,0,JR
1982-08,0,JR
1982-09,1.1,JR
1982-10,2.73,JR
1982-11,6.18,JR
1982-12,5.5,JR
1983-01,9.92,JR
1983-02,7.45,JR
1983-03,11.76,JR
1983-04,4.65,JR
1983-05,0.93,JR
1983-06,0,JR
1983-07,0,JR
1983-08,0.11,JR
1983-09,0.31,JR
1983-10,0.45,JR
1983-11,8.71,JR
1983-12,7.93,JR
1984-01,0.38,JR
1984-02,1.93,JR
1984-03,1.78,JR
1984-04,0.91,JR
1984-05,0,JR
1984-06,0.06,JR
1984-07,0,JR
1984-08,0.03,JR
1984-09,0.07,JR
1984-10,2.53,JR
1984-11,7.26,JR
1984-12,2.51,JR
1985-01,0.83,JR
1985-02,2.59,JR
1985-03,4.82,JR
1985-04,0.1,JR
1985-05,0.18,JR
1985-06,0.16,JR
1985-07,0.08,JR
1985-08,0,JR
1985-09,0.29,JR
1985-10,1.06,JR
1985-11,3.85,JR
1985-12,3.01,JR
1986-01,3.26,JR
1986-02,12.04,JR
1986-03,6.73,JR
1986-04,0.56,JR
1986-05,0.22,JR
1986-06,0,JR
1986-07,0.02,JR
1986-08,0,JR
1986-09,1.16,JR
1986-10,0.11,JR
1986-11,0.11,JR
1986-12,1.72,JR
1987-01,3.63,JR
1987-02,4.43,JR
1987-03,3.56,JR
1987-04,0.27,JR
1987-05,0.03,JR
1987-06,0,JR
1987-07,0,JR
1987-08,0,JR
1987-09,0,JR
1987-10,1.08,JR
1987-11,1.6,JR
1987-12,5.65,JR
1988-01,4.15,JR
1988-02,0.45,JR
1988-03,0.11,JR
1988-04,1.96,JR
1988-05,0.4,JR
1988-06,0.02,JR
1988-07,0,JR
1988-08,0,JR
1988-09,0,JR
1988-10,0.16,JR
1988-11,2.38,JR
1988-12,4.51,JR
1989-01,1.7,JR
1989-02,1.42,JR
1989-03,4.87,JR
1989-04,0.88,JR
1989-05,0.06,JR
1989-06,0.01,JR
1989-07,0,JR
1989-08,0,JR
1989-09,0.68,JR
1989-10,2.15,JR
1989-11,1.43,JR
1989-12,0,JR
1990-01,3.7,JR
1990-02,2.99,JR
1990-03,1.05,JR
1990-04,0.22,JR
1990-05,2.08,JR
1990-06,0,JR
1990-07,0.05,JR
1990-08,0,JR
1990-09,0.13,JR
1990-10,0.1,JR
1990-11,0.46,JR
1990-12,2.38,JR
1991-01,0.39,JR
1991-02,2.46,JR
1991-03,10.22,JR
1991-04,0.36,JR
1991-05,0.12,JR
1991-06,0.19,JR
1991-07,0,JR
1991-08,0.07,JR
1991-09,0.04,JR
1991-10,2.42,JR
1991-11,0.9,JR
1991-12,3.43,JR
1992-01,2.28,JR
1992-02,8.49,JR
1992-03,4.15,JR
1992-04,0.4,JR
1992-05,0.01,JR
1992-06,0.41,JR
1992-07,0,JR
1992-08,0.07,JR
1992-09,0,JR
1992-10,1.94,JR
1992-11,0.08,JR
1992-12,7.5,JR
1993-01,10.94,JR
1993-02,5.92,JR
1993-03,2.67,JR
1993-04,0.97,JR
1993-05,0.57,JR
1993-06,0.4,JR
1993-07,0,JR
1993-08,0,JR
1993-09,0,JR
1993-10,0.36,JR
1993-11,1.9,JR
1993-12,3.11,JR
1994-01,2.43,JR
1994-02,5.17,JR
1994-03,0.44,JR
1994-04,1.98,JR
1994-05,1.52,JR
1994-06,0.02,JR
1994-07,0,JR
1994-08,0,JR
1994-09,0.03,JR
1994-10,0.54,JR
1994-11,5.9,JR
1994-12,2.23,JR
1995-01,11.86,JR
1995-02,0.25,JR
1995-03,10.63,JR
1995-04,1.58,JR
1995-05,1.63,JR
1995-06,0.89,JR
1995-07,0,JR
1995-08,0,JR
1995-09,0,JR
1995-10,0,JR
1995-11,0.05,JR
1995-12,7.18,JR
1996-01,7.01,JR
1996-02,7.35,JR
1996-03,3.39,JR
1996-04,1.53,JR
1996-05,1.67,JR
1996-06,0,JR
1996-07,0,JR
1996-08,0,JR
1996-09,0,JR
1996-10,0.77,JR
1996-11,3.47,JR
1996-12,9.26,JR
1997-01,9.83,JR
1997-02,0.3,JR
1997-03,0.5,JR
1997-04,0.46,JR
1997-05,0.37,JR
1997-06,0.2,JR
1997-07,0.03,JR
1997-08,0.75,JR
1997-09,0,JR
1997-10,0.63,JR
1997-11,6.91,JR
1997-12,3.19,JR
1998-01,9.91,JR
1998-02,15.07,JR
1998-03,2.66,JR
1998-04,2.13,JR
1998-05,2.74,JR
1998-06,0,JR
1998-07,0,JR
1998-08,0,JR
1998-09,0.06,JR
1998-10,0.58,JR
1998-11,2.63,JR
1998-12,2.47,JR
1999-01,4.38,JR
1999-02,5.66,JR
1999-03,2.99,JR
1999-04,2.05,JR
1999-05,0.04,JR
1999-06,0.11,JR
1999-07,0,JR
1999-08,0.03,JR
1999-09,0.2,JR
1999-10,0.28,JR
1999-11,1.52,JR
1999-12,0.57,JR
2000-01,6.77,JR
2000-02,8.55,JR
2000-03,2.36,JR
2000-04,1.29,JR
2000-05,0.58,JR
2000-06,0.16,JR
2000-07,0,JR
2000-08,0,JR
2000-09,0.13,JR
2000-10,2.44,JR
2000-11,0.83,JR
2000-12,0.49,JR
2001-01,4.1,JR
2001-02,5.37,JR
2001-03,2,JR
2001-04,1.55,JR
2001-05,0,JR
2001-06,0.1,JR
2001-07,0,JR
2001-08,0,JR
2001-09,0.15,JR
2001-10,0.61,JR
2001-11,4.49,JR
2001-12,7.69,JR
2002-01,1.18,JR
2002-02,1.47,JR
2002-03,2.76,JR
2002-04,0.37,JR
2002-05,0.66,JR
2002-06,0,JR
2002-07,0,JR
2002-08,0,JR
2002-09,0,JR
2002-10,0,JR
2002-11,3.23,JR
2002-12,13.33,JR
2003-01,1.25,JR
2003-02,2.04,JR
