"","ID","year","plot","fppt","gppt","AGHE","ASGA","BRMO","CAMU","ESCA","HELU","LACA","LAPL","LOMU","LOSU","MIDO","ORDE","PLER","STPU","THSP","TRSP","VUMI","tcover"
"1","c_1_block1_bottom_1983","1983","c_1_block1_bottom",461.922003746033,1476.78525066376,0.25,0.75,1.5,12.5,1.5,0,32.5,1.5,0,1.25,3.75,1.25,48.75,0,0,0,2.75,133.25
"2","c_1_block1_top_1983","1983","c_1_block1_top",461.922003746033,1476.78525066376,0.25,0,4.75,6.25,0,0,23.75,0,0,0,0,1.25,11.25,2.5,0,0,3.25,109
"3","c_1_block2_bottom_1983","1983","c_1_block2_bottom",461.922003746033,1476.78525066376,0.25,0,1.5,2.5,2.75,0,33.75,0.25,0,0.75,1,2,33.75,0,0,0,2.75,91.5
"4","c_1_block2_top_1983","1983","c_1_block2_top",461.922003746033,1476.78525066376,0.5,0,2.5,4.25,1.75,0,35,1.25,0,0.75,0.5,2.75,25,0,0,0,13,99
"5","c_2_block1_bottom_1983","1983","c_2_block1_bottom",461.922003746033,1476.78525066376,0,0,1.75,6,1,0,25,0.5,0,0.5,1.75,5,42.5,0,0,0,2.75,125.75
"6","c_2_block1_top_1983","1983","c_2_block1_top",461.922003746033,1476.78525066376,0.25,0,16.75,6.5,1.5,0,30,3,0,0.75,1.75,6.75,26.25,0,0,0,8,125
"7","c_2_block2_bottom_1983","1983","c_2_block2_bottom",461.922003746033,1476.78525066376,1,0,0.25,15,0.25,1.25,52.5,0.5,0,1,2.25,2.25,13.75,0,0,0,2,133.25
"8","c_2_block2_top_1983","1983","c_2_block2_top",461.922003746033,1476.78525066376,0.5,0,2.5,18.75,0.25,0.25,52.5,3,0,1.25,1,4.75,11.25,0,0,0,6.75,131.75
"9","c_3_block1_bottom_1983","1983","c_3_block1_bottom",461.922003746033,1476.78525066376,0,0.25,4.25,6.25,0,0,7.5,0.25,0,2,1.5,3.25,20,0,0,0,2,111.75
"10","c_3_block1_top_1983","1983","c_3_block1_top",461.922003746033,1476.78525066376,0.25,0,10,11.75,0,0,23.75,0,0,2.25,1.5,2.25,31.25,0,0,0,4.75,113.75
"11","c_3_block2_bottom_1983","1983","c_3_block2_bottom",461.922003746033,1476.78525066376,2.25,0,2,8.75,0,0.25,47.5,0.5,0,1,1.75,2.75,25,0.25,0,0,2.75,119.25
"12","c_3_block2_top_1983","1983","c_3_block2_top",461.922003746033,1476.78525066376,0.75,0.5,2.75,23.75,0.25,0,17.5,1.25,0,1.25,0.75,4.75,38.75,0,0,0.25,2,123.25
"13","c_1_block1_bottom_1984","1984","c_1_block1_bottom",525.576747655869,676.69624876976,0.25,0,1.25,13.75,0,0.5,12.75,0,0,0.75,1.75,1.5,5.5,0,0,0.25,0.75,105.5
"14","c_1_block1_top_1984","1984","c_1_block1_top",525.576747655869,676.69624876976,0,0.5,4.25,5.5,0,0,43.75,0,0,0.75,0.5,0.5,9.25,0,0,0.25,2,101.25
"15","c_1_block2_bottom_1984","1984","c_1_block2_bottom",525.576747655869,676.69624876976,0.25,0,10,5.25,6.5,0.25,38.75,0,0,0.75,2.5,3.5,8,0,0,0,5,106.5
"16","c_1_block2_top_1984","1984","c_1_block2_top",525.576747655869,676.69624876976,0,0,2.75,13.75,2.5,1,37.5,0,0,0,1.5,1.75,12.5,0,0,0,2,101
"17","c_2_block1_bottom_1984","1984","c_2_block1_bottom",525.576747655869,676.69624876976,0,0,2.75,5.5,0.75,0.25,18.75,0,0,0,1.75,1.75,15,0.25,0,0,1.5,113.5
"18","c_2_block1_top_1984","1984","c_2_block1_top",525.576747655869,676.69624876976,0,0,10,5.5,1.25,0,25,0.75,0,0.25,5,5.75,30,0,0,0,1,126.5
"19","c_2_block2_bottom_1984","1984","c_2_block2_bottom",525.576747655869,676.69624876976,0.75,0,0,10,0.25,3,36.25,0.25,0,0.25,2.25,6.75,16.25,0,0,0,0.5,129
"20","c_2_block2_top_1984","1984","c_2_block2_top",525.576747655869,676.69624876976,0.25,0,4.75,11.25,0,0,36.25,0.75,0,0.25,1,7.25,21.25,0,0,0,1,119.25
"21","c_3_block1_bottom_1984","1984","c_3_block1_bottom",525.576747655869,676.69624876976,3.5,1,8.75,17.5,0,1,15,1,0,0.5,1,3.5,20,0,0,0,9.75,130.25
"22","c_3_block1_top_1984","1984","c_3_block1_top",525.576747655869,676.69624876976,1,0.25,42.5,17.5,0,0,17.5,0,0,2.5,3.25,2.75,22.5,2.5,0,1.25,5.5,131.75
